Planet,Mission,Mission Type,Rotation,Item,Droprate,Droprate Category
Mars,Wahiba ,(Survival),B,Serration,7.14,Rare
Mars,Wahiba ,(Survival),B,Hornet Strike,7.14,Rare
Mars,Wahiba ,(Survival),B,Fast Deflection,7.14,Rare
Mars,Wahiba ,(Survival),B,Charged Shell,7.14,Rare
Mars,Wahiba ,(Survival),B,Vital Sense,7.14,Rare
Mars,Wahiba ,(Survival),B,Meso T1 Relic,7.14,Rare
Mars,Wahiba ,(Survival),B,Meso Z1 Relic,7.14,Rare
Mars,Wahiba ,(Survival),B,Meso B2 Relic,7.14,Rare
Mars,Wahiba ,(Survival),B,Meso S8 Relic,7.14,Rare
Mars,Wahiba ,(Survival),B,Meso T3 Relic,7.14,Rare
Mars,Wahiba ,(Survival),B,Meso D3 Relic,7.14,Rare
Mars,Wahiba ,(Survival),B,Meso R1 Relic,7.14,Rare
Mars,Wahiba ,(Survival),C,Neo S7 Relic,8.6,Rare
Mars,Wahiba ,(Survival),C,Neo M1 Relic,8.6,Rare
Mars,Wahiba ,(Survival),C,Quickening,11.28,Uncommon
Mars,Wahiba ,(Survival),C,Enduring Strike,11.28,Uncommon
Mars,Wahiba ,(Survival),C,Neo L1 Relic,8.6,Rare
Mars,Wahiba ,(Survival),C,Neo N8 Relic,8.6,Rare
Mars,Wahiba ,(Survival),C,Neo B5 Relic,8.6,Rare
Mars,Wahiba ,(Survival),C,Neo K2 Relic,8.6,Rare
Mars,Wahiba ,(Survival),C,Neo G1 Relic,8.6,Rare
Mars,Wahiba ,(Survival),C,Neo A2 Relic,8.6,Rare
Mars,Wahiba ,(Survival),C,Neo H2 Relic,8.6,Rare
Mars,Wahiba ,(Survival),C,Vitality,10.84,Uncommon
Mars,Wahiba ,(Survival),C,Fast Deflection,10.84,Uncommon
Mars,Wahiba ,(Survival),C,Rush,11.06,Uncommon
Mars,Wahiba ,(Survival),C,Magazine Warp,10.84,Uncommon
Mars,Wahiba ,(Survival),C,Trick Mag,10.84,Uncommon
Mars,Wahiba ,(Survival),C,Pressure Point,0.34,Legendary
Mars,Wahiba ,(Survival),C,Ammo Drum,11.06,Uncommon
Mars,Wahiba ,(Survival),C,Fast Hands,10.84,Uncommon
Mars,Wahiba ,(Survival),C,Quickdraw,10.84,Uncommon
Mars,Wahiba ,(Survival),C,Health Restore (Large),10.84,Uncommon
Mars,Wahiba ,(Survival),C,Omni Ammo Box,0.34,Legendary
Mars,Wahiba ,(Survival),C,North Wind,0.34,Legendary
Mars,Wahiba ,(Survival),C,Shocking Touch,0.34,Legendary
Mars,Wahiba ,(Survival),C,Molten Impact,0.34,Legendary
Mars,Wahiba ,(Survival),C,Stretch,0.34,Legendary
Mars,Syrtis ,(Exterminate),,Morphic Transformer,5.64,Rare
Mars,Syrtis ,(Exterminate),,Automatic Trigger,38.72,Common
Mars,Syrtis ,(Exterminate),,Phaedra Receiver,5.64,Rare
Mars,Syrtis ,(Exterminate),,Extend,38.72,Common
Mars,Syrtis ,(Exterminate),,Shell Rush,5.64,Rare
Jupiter,Adrastea ,(Caches),A,2500 Credits Cache,33.33,Common
Jupiter,Adrastea ,(Caches),A,3000 Credits Cache,33.33,Common
Jupiter,Adrastea ,(Caches),A,4000 Credits Cache,33.33,Common
Jupiter,Adrastea ,(Caches),B,75 Endo,12.65,Uncommon
Jupiter,Adrastea ,(Caches),B,150 Endo,12.65,Uncommon
Jupiter,Adrastea ,(Caches),B,80 Endo,12.65,Uncommon
Jupiter,Adrastea ,(Caches),B,300X Polymer Bundle,12.65,Uncommon
Jupiter,Adrastea ,(Caches),B,350X Rubedo,12.65,Uncommon
Jupiter,Adrastea ,(Caches),B,300X Plastids,12.65,Uncommon
Jupiter,Adrastea ,(Caches),B,250 Endo,11.06,Uncommon
Jupiter,Adrastea ,(Caches),B,240 Endo,11.06,Uncommon
Jupiter,Adrastea ,(Caches),B,400 Endo,1.01,Ultra Rare
Jupiter,Adrastea ,(Caches),B,640 Endo,1.01,Ultra Rare
Jupiter,Adrastea ,(Caches),C,80 Endo,15.1,Uncommon
Jupiter,Adrastea ,(Caches),C,150 Endo,15.1,Uncommon
Jupiter,Adrastea ,(Caches),C,Orokin Cell,15.1,Uncommon
Jupiter,Adrastea ,(Caches),C,Gallium,15.1,Uncommon
Jupiter,Adrastea ,(Caches),C,Neurodes,15.1,Uncommon
Jupiter,Adrastea ,(Caches),C,240 Endo,4.4,Rare
Jupiter,Adrastea ,(Caches),C,2X Orokin Cell,4.4,Rare
Jupiter,Adrastea ,(Caches),C,2X Gallium,4.4,Rare
Jupiter,Adrastea ,(Caches),C,2X Neurodes,4.4,Rare
Jupiter,Adrastea ,(Caches),C,Tellurium,4.4,Rare
Jupiter,Adrastea ,(Caches),C,Argon Crystal,1,Ultra Rare
Jupiter,Adrastea ,(Caches),C,Nitain Extract,1,Ultra Rare
Jupiter,Adrastea ,(Caches),C,Xiphos Engines Blueprint,0.5,Legendary
Jupiter,Amalthea ,(Spy),A,Vitality,9.09,Rare
Jupiter,Amalthea ,(Spy),A,Magazine Warp,9.09,Rare
Jupiter,Amalthea ,(Spy),A,Trick Mag,9.09,Rare
Jupiter,Amalthea ,(Spy),A,Pressure Point,9.09,Rare
Jupiter,Amalthea ,(Spy),A,Ammo Drum,9.09,Rare
Jupiter,Amalthea ,(Spy),A,Fast Hands,9.09,Rare
Jupiter,Amalthea ,(Spy),A,Point Strike,9.09,Rare
Jupiter,Amalthea ,(Spy),A,Piercing Hit,9.09,Rare
Jupiter,Amalthea ,(Spy),A,Pistol Gambit,9.09,Rare
Jupiter,Amalthea ,(Spy),A,Blunderbuss,9.09,Rare
Jupiter,Amalthea ,(Spy),A,15 Endo,9.09,Rare
Jupiter,Amalthea ,(Spy),B,Speed Trigger,5.56,Rare
Jupiter,Amalthea ,(Spy),B,Fast Deflection,5.56,Rare
Jupiter,Amalthea ,(Spy),B,Rush,5.56,Rare
Jupiter,Amalthea ,(Spy),B,Target Cracker,5.56,Rare
Jupiter,Amalthea ,(Spy),B,No Return,5.56,Rare
Jupiter,Amalthea ,(Spy),B,Serration,5.56,Rare
Jupiter,Amalthea ,(Spy),B,Hornet Strike,5.56,Rare
Jupiter,Amalthea ,(Spy),B,Reflex Coil,5.56,Rare
Jupiter,Amalthea ,(Spy),B,Deep Freeze,5.56,Rare
Jupiter,Amalthea ,(Spy),B,North Wind,5.56,Rare
Jupiter,Amalthea ,(Spy),B,Cryo Rounds,5.56,Rare
Jupiter,Amalthea ,(Spy),B,Hell's Chamber,5.56,Rare
Jupiter,Amalthea ,(Spy),B,Streamline,5.56,Rare
Jupiter,Amalthea ,(Spy),B,Shocking Touch,5.56,Rare
Jupiter,Amalthea ,(Spy),B,Stormbringer,5.56,Rare
Jupiter,Amalthea ,(Spy),B,Point Blank,5.56,Rare
Jupiter,Amalthea ,(Spy),B,Fury,5.56,Rare
Jupiter,Amalthea ,(Spy),B,50 Endo,5.56,Rare
Jupiter,Amalthea ,(Spy),C,Metal Auger,5.64,Rare
Jupiter,Amalthea ,(Spy),C,Rime Rounds,5.64,Rare
Jupiter,Amalthea ,(Spy),C,Scattering Inferno,5.64,Rare
Jupiter,Amalthea ,(Spy),C,80 Endo,9.68,Rare
Jupiter,Amalthea ,(Spy),C,Ivara Chassis Blueprint,5.64,Rare
Jupiter,Amalthea ,(Spy),C,Meso T1 Relic,9.68,Rare
Jupiter,Amalthea ,(Spy),C,Meso Z1 Relic,9.68,Rare
Jupiter,Amalthea ,(Spy),C,Meso B2 Relic,9.68,Rare
Jupiter,Amalthea ,(Spy),C,Meso S8 Relic,9.68,Rare
Jupiter,Amalthea ,(Spy),C,Meso T3 Relic,9.68,Rare
Jupiter,Amalthea ,(Spy),C,Meso D3 Relic,9.68,Rare
Jupiter,Amalthea ,(Spy),C,Meso R1 Relic,9.68,Rare
Jupiter,Metis ,(Rescue),A,Vapor Specter Blueprint,100,Very Common
Jupiter,Metis ,(Rescue),B,Phase Specter Blueprint,100,Very Common
Jupiter,Metis ,(Rescue),C,Force Specter Blueprint,100,Very Common
Jupiter,Io ,(Defense),A,15 Endo,12.5,Uncommon
Jupiter,Io ,(Defense),A,Meso T1 Relic,12.5,Uncommon
Jupiter,Io ,(Defense),A,Meso Z1 Relic,12.5,Uncommon
Jupiter,Io ,(Defense),A,Meso B2 Relic,12.5,Uncommon
Jupiter,Io ,(Defense),A,Meso S8 Relic,12.5,Uncommon
Jupiter,Io ,(Defense),A,Meso T3 Relic,12.5,Uncommon
Jupiter,Io ,(Defense),A,Meso D3 Relic,12.5,Uncommon
Jupiter,Io ,(Defense),A,Meso R1 Relic,12.5,Uncommon
Jupiter,Io ,(Defense),B,Neo S7 Relic,5.56,Rare
Jupiter,Io ,(Defense),B,Neo M1 Relic,5.56,Rare
Jupiter,Io ,(Defense),B,Reflex Coil,5.56,Rare
Jupiter,Io ,(Defense),B,Deep Freeze,5.56,Rare
Jupiter,Io ,(Defense),B,North Wind,5.56,Rare
Jupiter,Io ,(Defense),B,Cryo Rounds,5.56,Rare
Jupiter,Io ,(Defense),B,Hell's Chamber,5.56,Rare
Jupiter,Io ,(Defense),B,Stormbringer,5.56,Rare
Jupiter,Io ,(Defense),B,Point Blank,5.56,Rare
Jupiter,Io ,(Defense),B,Fury,5.56,Rare
Jupiter,Io ,(Defense),B,50 Endo,5.56,Rare
Jupiter,Io ,(Defense),B,Neo L1 Relic,5.56,Rare
Jupiter,Io ,(Defense),B,Neo N8 Relic,5.56,Rare
Jupiter,Io ,(Defense),B,Neo B5 Relic,5.56,Rare
Jupiter,Io ,(Defense),B,Neo K2 Relic,5.56,Rare
Jupiter,Io ,(Defense),B,Neo G1 Relic,5.56,Rare
Jupiter,Io ,(Defense),B,Neo A2 Relic,5.56,Rare
Jupiter,Io ,(Defense),B,Neo H2 Relic,5.56,Rare
Jupiter,Io ,(Defense),C,Vital Sense,4.51,Rare
Jupiter,Io ,(Defense),C,Metal Auger,4.51,Rare
Jupiter,Io ,(Defense),C,Ravage,4.51,Rare
Jupiter,Io ,(Defense),C,Stretch,4.51,Rare
Jupiter,Io ,(Defense),C,80 Endo,4.51,Rare
Jupiter,Io ,(Defense),C,Neo S7 Relic,8.6,Rare
Jupiter,Io ,(Defense),C,Neo M1 Relic,8.6,Rare
Jupiter,Io ,(Defense),C,Neo L1 Relic,8.6,Rare
Jupiter,Io ,(Defense),C,Neo N8 Relic,8.6,Rare
Jupiter,Io ,(Defense),C,Neo B5 Relic,8.6,Rare
Jupiter,Io ,(Defense),C,Neo K2 Relic,8.6,Rare
Jupiter,Io ,(Defense),C,Neo G1 Relic,8.6,Rare
Jupiter,Io ,(Defense),C,Neo A2 Relic,8.6,Rare
Jupiter,Io ,(Defense),C,Neo H2 Relic,8.6,Rare
Jupiter,Elara ,(Survival),A,1500 Credits Cache,16.67,Uncommon
Jupiter,Elara ,(Survival),A,2000 Credits Cache,16.67,Uncommon
Jupiter,Elara ,(Survival),A,2500 Credits Cache,16.67,Uncommon
Jupiter,Elara ,(Survival),A,15 Endo,16.67,Uncommon
Jupiter,Elara ,(Survival),A,50 Endo,16.67,Uncommon
Jupiter,Elara ,(Survival),A,80 Endo,16.67,Uncommon
Jupiter,Elara ,(Survival),B,Provoked,7.14,Rare
Jupiter,Elara ,(Survival),B,Steel Fiber,7.14,Rare
Jupiter,Elara ,(Survival),B,Serration,7.14,Rare
Jupiter,Elara ,(Survival),B,Hornet Strike,7.14,Rare
Jupiter,Elara ,(Survival),B,Fast Deflection,7.14,Rare
Jupiter,Elara ,(Survival),B,Charged Shell,7.14,Rare
Jupiter,Elara ,(Survival),B,Vital Sense,7.14,Rare
Jupiter,Elara ,(Survival),B,Meso T1 Relic,7.14,Rare
Jupiter,Elara ,(Survival),B,Meso Z1 Relic,7.14,Rare
Jupiter,Elara ,(Survival),B,Meso B2 Relic,7.14,Rare
Jupiter,Elara ,(Survival),B,Meso S8 Relic,7.14,Rare
Jupiter,Elara ,(Survival),B,Meso T3 Relic,7.14,Rare
Jupiter,Elara ,(Survival),B,Meso D3 Relic,7.14,Rare
Jupiter,Elara ,(Survival),B,Meso R1 Relic,7.14,Rare
Jupiter,Elara ,(Survival),C,Neo S7 Relic,8.6,Rare
Jupiter,Elara ,(Survival),C,Neo M1 Relic,8.6,Rare
Jupiter,Elara ,(Survival),C,Neo L1 Relic,8.6,Rare
Jupiter,Elara ,(Survival),C,Neo N8 Relic,8.6,Rare
Jupiter,Elara ,(Survival),C,Cleanse Corpus,3.76,Rare
Jupiter,Elara ,(Survival),C,Pistol Ammo Mutation,3.76,Rare
Jupiter,Elara ,(Survival),C,Arrow Mutation,3.76,Rare
Jupiter,Elara ,(Survival),C,Rifle Ammo Mutation,3.76,Rare
Jupiter,Elara ,(Survival),C,Sniper Ammo Mutation,3.76,Rare
Jupiter,Elara ,(Survival),C,Shotgun Ammo Mutation,3.76,Rare
Jupiter,Elara ,(Survival),C,Neo B5 Relic,8.6,Rare
Jupiter,Elara ,(Survival),C,Neo K2 Relic,8.6,Rare
Jupiter,Elara ,(Survival),C,Neo G1 Relic,8.6,Rare
Jupiter,Elara ,(Survival),C,Neo A2 Relic,8.6,Rare
Jupiter,Elara ,(Survival),C,Neo H2 Relic,8.6,Rare
Jupiter,Callisto ,(Interception),A,Vitality,9.09,Rare
Jupiter,Callisto ,(Interception),A,Magazine Warp,9.09,Rare
Jupiter,Callisto ,(Interception),A,Trick Mag,9.09,Rare
Jupiter,Callisto ,(Interception),A,15 Endo,9.09,Rare
Jupiter,Callisto ,(Interception),A,Meso T1 Relic,9.09,Rare
Jupiter,Callisto ,(Interception),A,Meso Z1 Relic,9.09,Rare
Jupiter,Callisto ,(Interception),A,Meso B2 Relic,9.09,Rare
Jupiter,Callisto ,(Interception),A,Meso S8 Relic,9.09,Rare
Jupiter,Callisto ,(Interception),A,Meso T3 Relic,9.09,Rare
Jupiter,Callisto ,(Interception),A,Meso D3 Relic,9.09,Rare
Jupiter,Callisto ,(Interception),A,Meso R1 Relic,9.09,Rare
Jupiter,Callisto ,(Interception),B,Target Cracker,5.88,Rare
Jupiter,Callisto ,(Interception),B,No Return,5.88,Rare
Jupiter,Callisto ,(Interception),B,Serration,5.88,Rare
Jupiter,Callisto ,(Interception),B,Hornet Strike,5.88,Rare
Jupiter,Callisto ,(Interception),B,Reflex Coil,5.88,Rare
Jupiter,Callisto ,(Interception),B,North Wind,5.88,Rare
Jupiter,Callisto ,(Interception),B,Hell's Chamber,5.88,Rare
Jupiter,Callisto ,(Interception),B,Neo S7 Relic,5.88,Rare
Jupiter,Callisto ,(Interception),B,Neo M1 Relic,5.88,Rare
Jupiter,Callisto ,(Interception),B,50 Endo,5.88,Rare
Jupiter,Callisto ,(Interception),B,Neo L1 Relic,5.88,Rare
Jupiter,Callisto ,(Interception),B,Neo N8 Relic,5.88,Rare
Jupiter,Callisto ,(Interception),B,Neo B5 Relic,5.88,Rare
Jupiter,Callisto ,(Interception),B,Neo K2 Relic,5.88,Rare
Jupiter,Callisto ,(Interception),B,Neo G1 Relic,5.88,Rare
Jupiter,Callisto ,(Interception),B,Neo A2 Relic,5.88,Rare
Jupiter,Callisto ,(Interception),B,Neo H2 Relic,5.88,Rare
Jupiter,Callisto ,(Interception),C,Neo S7 Relic,11.11,Uncommon
Jupiter,Callisto ,(Interception),C,Neo M1 Relic,11.11,Uncommon
Jupiter,Callisto ,(Interception),C,Neo L1 Relic,11.11,Uncommon
Jupiter,Callisto ,(Interception),C,Neo N8 Relic,11.11,Uncommon
Jupiter,Callisto ,(Interception),C,Neo B5 Relic,11.11,Uncommon
Jupiter,Callisto ,(Interception),C,Neo K2 Relic,11.11,Uncommon
Jupiter,Callisto ,(Interception),C,Neo G1 Relic,11.11,Uncommon
Jupiter,Callisto ,(Interception),C,Neo A2 Relic,11.11,Uncommon
Jupiter,Callisto ,(Interception),C,Neo H2 Relic,11.11,Uncommon
Jupiter,Themisto ,(Assassination),,Valkyr Neuroptics Blueprint,38.72,Common
Jupiter,Themisto ,(Assassination),,Valkyr Chassis Blueprint,38.72,Common
Jupiter,Themisto ,(Assassination),,Valkyr Systems Blueprint,22.56,Uncommon
Jupiter,Sinai ,(Defense),A,Vitality,6.9,Rare
Jupiter,Sinai ,(Defense),A,Fast Deflection,6.9,Rare
Jupiter,Sinai ,(Defense),A,Rush,7.37,Rare
Jupiter,Sinai ,(Defense),A,Magazine Warp,6.9,Rare
Jupiter,Sinai ,(Defense),A,Trick Mag,6.9,Rare
Jupiter,Sinai ,(Defense),A,Pressure Point,1.01,Ultra Rare
Jupiter,Sinai ,(Defense),A,Ammo Drum,7.37,Rare
Jupiter,Sinai ,(Defense),A,Fast Hands,7.37,Rare
Jupiter,Sinai ,(Defense),A,True Punishment,1.01,Ultra Rare
Jupiter,Sinai ,(Defense),A,Lith H2 Relic,6.9,Rare
Jupiter,Sinai ,(Defense),A,Lith P1 Relic,6.9,Rare
Jupiter,Sinai ,(Defense),A,Lith O1 Relic,6.9,Rare
Jupiter,Sinai ,(Defense),A,Lith Z2 Relic,6.9,Rare
Jupiter,Sinai ,(Defense),A,Lith C3 Relic,6.9,Rare
Jupiter,Sinai ,(Defense),A,Lith B5 Relic,6.9,Rare
Jupiter,Sinai ,(Defense),B,Speed Trigger,8.43,Rare
Jupiter,Sinai ,(Defense),B,Fast Hands,1.58,Ultra Rare
Jupiter,Sinai ,(Defense),B,Point Strike,8.43,Rare
Jupiter,Sinai ,(Defense),B,Vital Sense,8.43,Rare
Jupiter,Sinai ,(Defense),B,Piercing Hit,1.58,Ultra Rare
Jupiter,Sinai ,(Defense),B,Metal Auger,1.58,Ultra Rare
Jupiter,Sinai ,(Defense),B,Pistol Gambit,8.43,Rare
Jupiter,Sinai ,(Defense),B,Target Cracker,8.43,Rare
Jupiter,Sinai ,(Defense),B,No Return,8.43,Rare
Jupiter,Sinai ,(Defense),B,Ravage,8.43,Rare
Jupiter,Sinai ,(Defense),B,Blunderbuss,8.43,Rare
Jupiter,Sinai ,(Defense),B,Point Blank,1.58,Ultra Rare
Jupiter,Sinai ,(Defense),B,Serration,1.58,Ultra Rare
Jupiter,Sinai ,(Defense),B,Hornet Strike,1.58,Ultra Rare
Jupiter,Sinai ,(Defense),B,Fury,0.67,Legendary
Jupiter,Sinai ,(Defense),B,Reflex Coil,1.58,Ultra Rare
Jupiter,Sinai ,(Defense),B,Pressure Point,8.43,Rare
Jupiter,Sinai ,(Defense),B,True Punishment,0.67,Legendary
Jupiter,Sinai ,(Defense),B,Quickening,0.67,Legendary
Jupiter,Sinai ,(Defense),B,Meso T1 Relic,1.58,Ultra Rare
Jupiter,Sinai ,(Defense),B,Meso Z1 Relic,1.58,Ultra Rare
Jupiter,Sinai ,(Defense),B,Meso B2 Relic,1.58,Ultra Rare
Jupiter,Sinai ,(Defense),B,Meso S8 Relic,1.58,Ultra Rare
Jupiter,Sinai ,(Defense),B,Meso T3 Relic,1.58,Ultra Rare
Jupiter,Sinai ,(Defense),B,Meso D3 Relic,1.58,Ultra Rare
Jupiter,Sinai ,(Defense),B,Meso R1 Relic,1.58,Ultra Rare
Jupiter,Sinai ,(Defense),C,Hellfire,7.59,Rare
Jupiter,Sinai ,(Defense),C,Heated Charge,7.59,Rare
Jupiter,Sinai ,(Defense),C,Molten Impact,1.58,Ultra Rare
Jupiter,Sinai ,(Defense),C,Barrel Diffusion,1.58,Ultra Rare
Jupiter,Sinai ,(Defense),C,Streamline,1.58,Ultra Rare
Jupiter,Sinai ,(Defense),C,Intensify,1.58,Ultra Rare
Jupiter,Sinai ,(Defense),C,Neo S7 Relic,1.58,Ultra Rare
Jupiter,Sinai ,(Defense),C,Thunderbolt,0.4,Legendary
Jupiter,Sinai ,(Defense),C,50 Endo,7.59,Rare
Jupiter,Sinai ,(Defense),C,80 Endo,1.58,Ultra Rare
Jupiter,Sinai ,(Defense),C,Neo M1 Relic,1.58,Ultra Rare
Jupiter,Sinai ,(Defense),C,True Punishment,0.4,Legendary
Jupiter,Sinai ,(Defense),C,Quickening,0.4,Legendary
Jupiter,Sinai ,(Defense),C,Enduring Strike,0.4,Legendary
Jupiter,Sinai ,(Defense),C,Life Strike,0.4,Legendary
Jupiter,Sinai ,(Defense),C,Meso T1 Relic,7.59,Rare
Jupiter,Sinai ,(Defense),C,Meso Z1 Relic,7.59,Rare
Jupiter,Sinai ,(Defense),C,Meso B2 Relic,7.59,Rare
Jupiter,Sinai ,(Defense),C,Neo L1 Relic,1.58,Ultra Rare
Jupiter,Sinai ,(Defense),C,Neo N8 Relic,1.58,Ultra Rare
Jupiter,Sinai ,(Defense),C,Neo B5 Relic,1.58,Ultra Rare
Jupiter,Sinai ,(Defense),C,Meso S8 Relic,7.59,Rare
Jupiter,Sinai ,(Defense),C,Meso T3 Relic,7.59,Rare
Jupiter,Sinai ,(Defense),C,Meso D3 Relic,7.59,Rare
Jupiter,Sinai ,(Defense),C,Meso R1 Relic,7.59,Rare
Jupiter,Sinai ,(Defense),C,Neo K2 Relic,1.58,Ultra Rare
Jupiter,Sinai ,(Defense),C,Neo G1 Relic,1.58,Ultra Rare
Jupiter,Sinai ,(Defense),C,Neo A2 Relic,1.58,Ultra Rare
Jupiter,Sinai ,(Defense),C,Neo H2 Relic,1.58,Ultra Rare
Jupiter,Ananke ,(Capture),,Vitality,10.84,Uncommon
Jupiter,Ananke ,(Capture),,Fast Deflection,10.84,Uncommon
Jupiter,Ananke ,(Capture),,Rush,11.06,Uncommon
Jupiter,Ananke ,(Capture),,Magazine Warp,10.84,Uncommon
Jupiter,Ananke ,(Capture),,Trick Mag,10.84,Uncommon
Jupiter,Ananke ,(Capture),,Pressure Point,0.34,Legendary
Jupiter,Ananke ,(Capture),,Ammo Drum,11.06,Uncommon
Jupiter,Ananke ,(Capture),,Fast Hands,10.84,Uncommon
Jupiter,Ananke ,(Capture),,Quickdraw,10.84,Uncommon
Jupiter,Ananke ,(Capture),,Health Restore (Large),10.84,Uncommon
Jupiter,Ananke ,(Capture),,Omni Ammo Box,0.34,Legendary
Jupiter,Ananke ,(Capture),,North Wind,0.34,Legendary
Jupiter,Ananke ,(Capture),,Shocking Touch,0.34,Legendary
Jupiter,Ananke ,(Capture),,Molten Impact,0.34,Legendary
Jupiter,Ananke ,(Capture),,Stretch,0.34,Legendary
Jupiter,Galilea ,(Sabotage),,Glacial Edge,25.81,Uncommon
Jupiter,Galilea ,(Sabotage),,Galvanized Blade,25.81,Uncommon
Jupiter,Galilea ,(Sabotage),,Tempered Blade,25.81,Uncommon
Jupiter,Galilea ,(Sabotage),,Meteor Crash,3.76,Rare
Jupiter,Galilea ,(Sabotage),,Nebula Bore,3.76,Rare
Jupiter,Galilea ,(Sabotage),,Astral Slash,3.76,Rare
Jupiter,Galilea ,(Sabotage),,Comet Blast,3.76,Rare
Jupiter,Galilea ,(Sabotage),,Quasar Drill,3.76,Rare
Jupiter,Galilea ,(Sabotage),,Zodiac Shred,3.76,Rare
Jupiter,Cameria ,(Survival),A,1500 Credits Cache,16.67,Uncommon
Jupiter,Cameria ,(Survival),A,2000 Credits Cache,16.67,Uncommon
Jupiter,Cameria ,(Survival),A,2500 Credits Cache,16.67,Uncommon
Jupiter,Cameria ,(Survival),A,15 Endo,16.67,Uncommon
Jupiter,Cameria ,(Survival),A,50 Endo,16.67,Uncommon
Jupiter,Cameria ,(Survival),A,80 Endo,16.67,Uncommon
Jupiter,Cameria ,(Survival),B,Provoked,7.14,Rare
Jupiter,Cameria ,(Survival),B,Steel Fiber,7.14,Rare
Jupiter,Cameria ,(Survival),B,Serration,7.14,Rare
Jupiter,Cameria ,(Survival),B,Hornet Strike,7.14,Rare
Jupiter,Cameria ,(Survival),B,Fast Deflection,7.14,Rare
Jupiter,Cameria ,(Survival),B,Charged Shell,7.14,Rare
Jupiter,Cameria ,(Survival),B,Vital Sense,7.14,Rare
Jupiter,Cameria ,(Survival),B,Meso T1 Relic,7.14,Rare
Jupiter,Cameria ,(Survival),B,Meso Z1 Relic,7.14,Rare
Jupiter,Cameria ,(Survival),B,Meso B2 Relic,7.14,Rare
Jupiter,Cameria ,(Survival),B,Meso S8 Relic,7.14,Rare
Jupiter,Cameria ,(Survival),B,Meso T3 Relic,7.14,Rare
Jupiter,Cameria ,(Survival),B,Meso D3 Relic,7.14,Rare
Jupiter,Cameria ,(Survival),B,Meso R1 Relic,7.14,Rare
Jupiter,Cameria ,(Survival),C,Neo S7 Relic,8.6,Rare
Jupiter,Cameria ,(Survival),C,Neo M1 Relic,8.6,Rare
Jupiter,Cameria ,(Survival),C,Quickening,11.28,Uncommon
Jupiter,Cameria ,(Survival),C,Enduring Strike,11.28,Uncommon
Jupiter,Cameria ,(Survival),C,Neo L1 Relic,8.6,Rare
Jupiter,Cameria ,(Survival),C,Neo N8 Relic,8.6,Rare
Jupiter,Cameria ,(Survival),C,Neo B5 Relic,8.6,Rare
Jupiter,Cameria ,(Survival),C,Neo K2 Relic,8.6,Rare
Jupiter,Cameria ,(Survival),C,Neo G1 Relic,8.6,Rare
Jupiter,Cameria ,(Survival),C,Neo A2 Relic,8.6,Rare
Jupiter,Cameria ,(Survival),C,Neo H2 Relic,8.6,Rare
Saturn,Helene ,(Defense),A,15 Endo,12.5,Uncommon
Saturn,Helene ,(Defense),A,Meso T1 Relic,12.5,Uncommon
Saturn,Helene ,(Defense),A,Meso Z1 Relic,12.5,Uncommon
Saturn,Helene ,(Defense),A,Meso B2 Relic,12.5,Uncommon
Saturn,Helene ,(Defense),A,Meso S8 Relic,12.5,Uncommon
Saturn,Helene ,(Defense),A,Meso T3 Relic,12.5,Uncommon
Saturn,Helene ,(Defense),A,Meso D3 Relic,12.5,Uncommon
Saturn,Helene ,(Defense),A,Meso R1 Relic,12.5,Uncommon
Saturn,Helene ,(Defense),B,Neo S7 Relic,5.56,Rare
Saturn,Helene ,(Defense),B,Neo M1 Relic,5.56,Rare
Saturn,Helene ,(Defense),B,Reflex Coil,5.56,Rare
Saturn,Helene ,(Defense),B,Deep Freeze,5.56,Rare
Saturn,Helene ,(Defense),B,North Wind,5.56,Rare
Saturn,Helene ,(Defense),B,Cryo Rounds,5.56,Rare
Saturn,Helene ,(Defense),B,Hell's Chamber,5.56,Rare
Saturn,Helene ,(Defense),B,Stormbringer,5.56,Rare
Saturn,Helene ,(Defense),B,Point Blank,5.56,Rare
Saturn,Helene ,(Defense),B,Fury,5.56,Rare
Saturn,Helene ,(Defense),B,50 Endo,5.56,Rare
Saturn,Helene ,(Defense),B,Neo L1 Relic,5.56,Rare
Saturn,Helene ,(Defense),B,Neo N8 Relic,5.56,Rare
Saturn,Helene ,(Defense),B,Neo B5 Relic,5.56,Rare
Saturn,Helene ,(Defense),B,Neo K2 Relic,5.56,Rare
Saturn,Helene ,(Defense),B,Neo G1 Relic,5.56,Rare
Saturn,Helene ,(Defense),B,Neo A2 Relic,5.56,Rare
Saturn,Helene ,(Defense),B,Neo H2 Relic,5.56,Rare
Saturn,Helene ,(Defense),C,Vital Sense,4.51,Rare
Saturn,Helene ,(Defense),C,Metal Auger,4.51,Rare
Saturn,Helene ,(Defense),C,Ravage,4.51,Rare
Saturn,Helene ,(Defense),C,Stretch,4.51,Rare
Saturn,Helene ,(Defense),C,80 Endo,4.51,Rare
Saturn,Helene ,(Defense),C,Neo S7 Relic,8.6,Rare
Saturn,Helene ,(Defense),C,Neo M1 Relic,8.6,Rare
Saturn,Helene ,(Defense),C,Neo L1 Relic,8.6,Rare
Saturn,Helene ,(Defense),C,Neo N8 Relic,8.6,Rare
Saturn,Helene ,(Defense),C,Neo B5 Relic,8.6,Rare
Saturn,Helene ,(Defense),C,Neo K2 Relic,8.6,Rare
